res_id,name,establishment,url,address,city,locality,latitude_res,longitude_res,locality_verbose,cuisines,timings,average_cost_for_two,highlights,aggregate_rating,rating_text,fclass,name.1,latitude_uni,longitude_uni,proximity
18198868,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-peenya?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"39/2, Santoshima Enclave, B-Block, 8th Mile, Dasarahalli, Tumkur Road, Peenya, Bangalore",Bangalore,Peenya,13.04555755,77.50544395,"Peenya, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Cash', 'Takeaway Available', 'Debit Card', 'Credit Card', 'Delivery', 'No Alcohol Available', 'Indoor Seating', 'Desserts and Bakes', 'Pure Veg']",3.8,Good,,,,,
18702894,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-bannerghatta-road-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4, Arakere Village, Begur Hobli, Opp. Reliance Mart, Bannerghatta Road",Bangalore,Bannerghatta Road,12.890298,77.598047,"Bannerghatta Road, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Delivery', 'Debit Card', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes']",3.5,Good,,,,,
18630491,Kanti Sweets,Dessert Parlour,https://www.zomato.com/bangalore/kanti-sweets-2-rt-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"687/B, 10th Cross, CBI Main Road, Ganganagar, R T Nagar Post, RT Nagar, Bangalore",Bangalore,RT Nagar,13.02631152,77.58975886,"RT Nagar, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Debit Card', 'Delivery', 'Takeaway Available', 'Credit Card', 'Cash', 'Pure Veg', 'Indoor Seating', 'Desserts and Bakes']",3.5,Good,,,,,
18630484,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-1-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Old 7, New 7/7, Basaveswara H B C S, II Stage, 80 Feet Road, Chandra Layout, Vijay Nagar, Bangalore",Bangalore,Vijay Nagar,12.96089124,77.52792623,"Vijay Nagar, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card', 'Desserts and Bakes', 'Pure Veg']",3.5,Good,,,,,
18369833,Kanti Sweets,Dessert Parlour,https://www.zomato.com/bangalore/kanti-sweets-sanjay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2, Santosh Towers, Bassapa Layout, Sanjay Nagar, Bangalore",Bangalore,Sanjay Nagar,13.03851317,77.57414136,"Sanjay Nagar, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['No Alcohol Available', 'Cash', 'Takeaway Available', 'Credit Card', 'No Seating Available', 'Delivery', 'Debit Card', 'Desserts and Bakes', 'Pure Veg']",3.8,Good,,,,,
18772958,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-rajarajeshwari-nagar-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"852, Dwaraka Nagar Layout, Farmer Labour Society, Channasandra, Rajarajeshwari Nagar, Bangalore",Bangalore,Rajarajeshwari Nagar,12.90282508,77.52148289,"Rajarajeshwari Nagar, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Cash', 'Takeaway Available', 'Debit Card', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes']",3.7,Good,,,,,
56290,Asha Sweets Centre,Sweet Shop,https://www.zomato.com/bangalore/asha-sweets-centre-magadi-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"44, Near Jaimuni Rao Circle, Magadi Road, Bangalore",Bangalore,Magadi Road,12.97869665,77.54219726,"Magadi Road, Bangalore","Mithai, Street Food",8:30 AM to 10 PM,250,"['Cash', 'Takeaway Available', 'Credit Card', 'Delivery', 'Debit Card', 'Desserts and Bakes', 'Pure Veg']",3.4,Average,,,,,
51953,Kanti Sweets,Quick Bites,https://www.zomato.com/bangalore/kanti-sweets-magadi-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shruti Residency, 39/39, Jaimuni Rao Circle, Magadi Road, Bangalore",Bangalore,Magadi Road,12.979938,77.542916,"Magadi Road, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Delivery', 'Lunch', 'Cash', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Indoor Seating', 'Sodexo', 'Pure Veg', 'Desserts and Bakes']",3.4,Average,,,,,
18398411,K.C Das,Sweet Shop,https://www.zomato.com/bangalore/k-c-das-bannerghatta-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Akshayvana Complex, Akshay Nagar Main Road, Near DLF, Bannerghatta Road, Bangalore",Bangalore,Bannerghatta Road,12.87273023,77.61649378,"Bannerghatta Road, Bangalore","Mithai, Street Food",10 AM to 6:30 PM (Mon-Sun),200,"['Cash', 'No Alcohol Available', 'Debit Card', 'Credit Card', 'Takeaway Available', 'Pure Veg', 'Indoor Seating', 'Desserts and Bakes']",3.4,Average,,,,,
18705073,Laughing Llama Gastropub,Bar,https://www.zomato.com/bangalore/laughing-llama-gastropub-1-brigade-road-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"148 /149, St Thomas Building, Brigade Road, Bangalore",Bangalore,Brigade Road,12.96931137,77.60646366,"Brigade Road, Bangalore","Finger Food, Continental, Pizza","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",1600,"['Dinner', 'Delivery', 'Lunch', 'Debit Card', 'Serves Alcohol', 'Cash', 'Credit Card', 'Takeaway Available', 'Valet Parking Available', 'Indoor Seating', 'Nightlife', 'Live Music', 'Air Conditioned', 'LGBTQIA Friendly', 'Live Sports Screening', 'Outdoor Seating', 'Digital Payments Accepted', 'Fullbar', 'Table booking recommended', 'Smoking Area']",4.2,Very Good,,,,,
